id,created_at,unidade,tipologia,bloco,piso,AHB,ABE,preço,luz_natural,score
1,2025-11-06 15:42:35.241289+00,A,T1,1,1,54.70 m2,103.48 m2,6320619,4,18
2,2025-11-06 15:42:35.241289+00,B,T1,1,1,69.57 m2,10.25 m2,254258,4,18
3,2025-11-06 15:42:35.241289+00,C,T2,1,1,98.44 m2,99.03 m2,448522,5,19
4,2025-11-06 15:42:35.241289+00,D,T2,1,1,79.02 m2,82.70 m2,363405,5,20
5,2025-11-06 15:42:35.241289+00,E,T2,1,2,93.78 m2,12.19 m2,341030,3,19
6,2025-11-06 15:42:35.241289+00,F,T2,1,2,106.22 m2,17.46 m2,390103,3,21
7,2025-11-06 15:42:35.241289+00,G,T2,1,2,105.62 m2,13.40 m2,383740,4,22
8,2025-11-06 15:42:35.241289+00,H,T3 Duplex,1,3,142.44 m2,77.38 m2,579789,4,23
9,2025-11-06 15:42:35.241289+00,A,T1,2,1,67.85 m2,9.50 m2,247450,3,17
10,2025-11-06 15:42:35.241289+00,B,T1,2,1,66.61 m2,100.81 m2,338986,5,19
11,2025-11-06 15:42:35.241289+00,C,T2,2,1,80.97 m2,92.41 m2,380426,5,19
12,2025-11-06 15:42:35.241289+00,D,T2,2,1,74.59 m2,86.30 m2,351680,4,20
13,2025-11-06 15:42:35.241289+00,E,T3 Duplex,2,3,137.09 m2,26.36 m2,507493,3,23
14,2025-11-06 15:42:35.241289+00,F,T2,2,2,106.65 m2,11.34 m2,385182,5,23
15,2025-11-06 15:42:35.241289+00,G,T3 Duplex,2,3,144.84 m2,40.41 m2,549371,5,24
16,2025-11-06 15:42:35.241289+00,H,T3,2,2,136.25 m2,21.15 m2,499083,3,23